ID,Holder,Number,EIngebaut (von oben),Position,Formula,Minerale,Description,Comment,Referenz,SiO2,TiO2,Al2O3,Cr2O3,CrO3,Fe2O3,FeO,NiO,MgO,MnO,CaO,Na2O,K2O,H2O,Li2O,BeO,CO2,P2O5,SO3,ClO,V2O5,CoO,ZnO,As2O3,Rb2O,SrO,Y2O3,ZrO2,NbO2,SnO2,Cs2O,BaO,WO3,REE2O3,Sc2O3 ,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,HfO2,PbO,ThO2,UO2,U3O8,Si,Mg,Fe,Ca,B,N,Na,Ni,Ti,Mn,F,Li,S,C,P,Cl,Co,Cu,Zn,An,Cd,Sc,Cr,Pt,Tb,Hf,Nb,Ce,Cs,Ga,Be,Ag,Ru,As,Se,Al,Ge,In,Br,Ir,Mo,Sn,Sb,Dy,Pd,Er,Ta,Re,Sr,Rh,Te,Au,I,O,Hg,La,Tl,Pb,Bi,Ba,V,W,Y,Zr,Total,cps/nA,TAP1,TAPL2,/,TAPL4,/,,PET1,PETL2,PETL3,/,PETH5,,/,/,LIFL3,/,LIFH5,sonstige Kristalle
195,NBS-metals,,ja,,Rh,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
196,NBS-metals,,ja,,Ru,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
197,NBS-metals,,ja,,Sb,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
198,NBS-metals,,ja,,Sc,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
199,NBS-metals,,ja,,Se,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
200,NBS-metals,,ja,,Si,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
201,NBS-metals,,ja,,Sn,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
202,NBS-metals,,ja,,Sr,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
203,NBS-metals,,ja,,Ta,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
204,NBS-metals,,ja,,Tb,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
205,NBS-metals,,ja,,Te,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
206,NBS-metals,,ja,,Te,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
207,NBS-metals,,ja,,Ti,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
208,NBS-metals,,ja,,V,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,100.00,,,,,,,,,,,,,,,,,,,
209,NBS-metals,,ja,,W,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,100.00,,,,,,,,,,,,,,,,,,,
210,NBS-metals,,ja,,Y,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,100.00,,,,,,,,,,,,,,,,,,,
211,NBS-metals,,ja,,Zn,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
212,NBS-metals,,ja,,Zr,,,,"NIST, NBS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,100.00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,3R,4,nein,,Fe2O3,,,"vielleicht vergossen, Block 3","McGuire, Smithsonian, USNM 92649",,8.80,,5.68,,72.69,5.81,,,3.79,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.57,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,3R,8,nein,,,Pyrop,,"vielleicht vergossen, Block 4","Jarosewich Standard, Smithsonia, USNM 143968",41.46,0.47,23.73,,,,10.68,,18.51,0.28,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.30,,,,,,,,,,,,,,,,,,,
221,3R,9,nein,,,Augit,,,"Jarosewich Standard, Smithsonian, USNM 122142",50.73,0.74,8.73,,,1.08,5.37,,16.65,0.13,15.82,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.56,,,,,,,,,,,,,,,,,,,
222,3R,10,nein,,,Diopside,,"vielleicht vergossen, Block 4","Jarosewich Standard, Smithsonian, NMNH 117733",54.87,,0.11,,,,0.24,,18.3,0.04,25.63,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.53,,,,,,,,,,,,,,,,,,,
223,3R,11,nein,,,Hypersthen,,,"Jarosewich Standard, Smithsonian, USNM 746",54.09,0.16,1.23,0.75,,,15.22,,26.79,0.49,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.25,,,,,,,,,,,,,,,,,,,
224,3R,12,ja,M3,,Omphacite,,,"Jarosewich Standard, Smithsonian, USNM 110607",55.42,0.37,8.89,,,1.35,3.41,,11.57,0.10,13.75,5.00,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.01,,,,,,,,,,,,,,,,,,,
225,3R,13,nein,,,Wollastonite,"& 10% CaCO3, Synth.",,"Daniel Röhnert, in House Dr. Arbeit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,3R,14,nein,,,Hornblende ,,,"Jarosewich Standard, Smithsonian, USNM 143965",40.37,4.72,14.9,,,3.3,7.95,,12.8,0.09,10.3,2.6,2.05,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.02,,,,,,,,,,,,,,,,,,,
227,3R,15,nein,,,Microcline,,,"Jarosewich Standard, Smithsonian, USNM 143966",64.24,0.01,18.3,,,,0.04,,0.03,0.04,0.02,1.3,15.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.12,,,,,,,,,,,,,,,,,,,
228,3R,16,nein,,,Anorthoklas,Kakanui,"vielleicht vergossen, Block 4","Jarosewich Standard, Smithsonian, USNM 133868",66.44,,20.12,,,,0.2,,,,0.87,9.31,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.29,,,,,,,,,,,,,,,,,,,
229,3R,17,nein,,,Anorthite,,,"Jarosewich Standard, Smithsonian, USNM 137041",44.00,0.03,36.03,,,,0.62,,,,19.09,0.53,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.33,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,3R,20,nein,,,Calcite,,,"Jarosewich Standard, Smithsonian, USNM 136321",,,,,,,,,,,56.10,,,,,,44.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.11,,,,,,,,,,,,,,,,,,,
233,3R,21,nein,,,Dolomite,,,"Jarosewich Standard, Smithsonian, USNM 10057",,,,,,,,,22.04,,30.56,,,,,,46.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.53,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,3R,23,nein,,,Strontianit,,,"Jarosewich Standard, Smithsonian, USNM R-10065",,,,,,,1.90,,,,,,,,,,30.23,,,,,,,,,67.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.80,,,,,,,,,,,,,,,,,,,
236,3R,24,nein,,,Olivin,SC/KA bzw. SC1,"vielleicht vergossen, Block 4",Köhler and Brey 1990 ,40.42,,,,,,9.58,0.32,48.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.31,,,,,,,,,,,,,,,,,,,
237,3R,25,nein,,,Gahnite,,,"Jarosewich Standard, Smithsonian, USNM 111312/444",,,55.32,,,,1.97,,,0.38,,,,,,,,,,,,,42.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.17,,,,,,,,,,,,,,,,,,,
238,3R,26,ja,D2,,Olivin,San Carlos,,"Jarosewich Standard, Smithsonian, USNM 111312/444",40.81,,,,,,9.55,,49.42,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.29,,,,,,,,,,,,,,,,,,,
239,3R,27,nein,,,Spinel,SP C1,"vielleicht vergossen, Block 4",Klaus Blum (Dr. Arbeit),5.01,4.95,34.73,9.27,,,10.89,,14.58,2.45,2.47,2.39,,,,,,,,,4.9,2.4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.74,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,3R,29,nein,,Pb,,,RFA Standard ,in house STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,100.0,,,,,,,,,,,,,,,,,,,
242,3R,30,nein,,Mo,,,TEM- Aperturblende,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
243,3R,31,nein,,,Andradit ,Synth.,,"Thomas Fehr, kein Paper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,3R,32,nein,,,Almandine,"FRA1, Les Collobrieres",Flank Method,A. Woodland,36.29,0.02,20.17,,,,41.95,,0.58,0.05,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
245,3R,33,ja,Y1,,Augit,,Flank Method,"Von Theo Ntaflos, kein Paper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,3R,34,nein,,,Zirkon,91500,"Nancy, vergossen, Block 3",Wiedenbeck et al. 1995,32.27,,,,,,,,,,,,,,,,,0.05,,,,,,,,,0.29,62.87,,,,,,,,,,,,,,,,,,,,,,0.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.13,,,,,,,,,,,,,,,,,,,
247,3R,35,ja,Z10,CaSiO3,Wollastonite,,,"P&H Developments (Tim Hopkins), STDB 8",50.96,0.01,,,,0.22,,,0.01,0.63,47.48,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.32,,,,,,,,,,,,,,,,,,,
248,3R,36,ja,E3,,Glass,5% Th in glass,,"P&H Developments (Tim Hopkins), STDB 9",58.29,,13.98,,,,,,,,22.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.22,,,,,,,,,,,,,,,,,,,
249,3R,37,ja,D3,,Glass,5% U in glass,,"P&H Developments (Tim Hopkins), STDB 10",58.88,,14.02,,,,,,,,22.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.92,,,,,,,,,,,,,,,,,,,
250,3R,38,nein,,Cr2O3,,,vergossen in Block 4,"P&H Developments (Tim Hopkins), STDB 3",,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
251,3R,39,nein,,PbS,,,,"P&H Developments (Tim Hopkins), STDB 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.60,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
252,3R,40,nein,,HgS,Zinnober,"Idra no, 1924 ",Min.-Sammlung ,in House STD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.22,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
253,3R,41,ja,C3,,Glass,BCR-2G glass,,USGS Basaltglas,93.92,1.3005,,0.0017,,,,,2.098,0.1463,,2.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0321,,,,,,,,,,,0.0641,0.0425,,,0.0167,100.0002,,,,,,,,,,,,,,,,,,,
254,3R,42,ja, B3,,Glass,BHVO-2G 3.,,USGS Basaltglas,91.96,1.561,,0.0285,,,,,4.2682,0.1345,,1.7672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0112,,,,,,,,,,0.0142,0.0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0382,,,,,,,,,,,0.0128,0.0329,,,0.16,99.9994,,,,,,,,,,,,,,,,,,,
255,3R,43,ja,C4,,,NKT-1G745,,USGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,3R,44,nein,,,Glass,USGS GP-3,,USGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,3R,45,nein,,PbCrO4,,,,unbekannt,,,,30.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
258,3R,46,nein,,ThO2,,,,unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
259,3R,47,ja,I3,UO2,,,,unbekannt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
260,3R,48,ja,J3,,Monazite ,Moacyr,,Armin Zeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,3R,49,nein,,,Monazite,Ma1h,,Armin Zeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,3R,50,ja,B4,,Glass,NIST 610,,NIST,69.06,,1.92,,,,,,,,11.39,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.12,,,,,,,,,,,,,,,,,,,
263,3R,51,ja,S9,,Pyrop,Kakanui,Flank Method,"Jarosewich Standard, Smithsonian, USNM 143968",41.46,0.47,23.73,,,,10.68,,18.51,0.28,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3,,,,,,,,,,,,,,,,,,,
264,3R,52,ja,D10,Al,Metall,,Probe aus der Physik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
265,3R,53,ja,S10 ,,Almandin,"FRA1, Les Collobrieres",Flank Method,A. Woodland,36.29,0.02,20.17,,,,41.95,,0.58,0.05,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,,,,,,,,,,,,,,,,,,,
266,3R,54,ja,T10,,Andradit ,"aus Sibirien, kein Fe2+",Flank Method,in house STD,35.41,,0.55,,,,30.51,,0.13,1.13,32.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.18,,,,,,,,,,,,,,,,,,,
