ID,Holder,Number,EIngebaut (von oben),Position,Formula,Minerale,Description,Comment,Referenz,SiO2,TiO2,Al2O3,Cr2O3,CrO3,Fe2O3,FeO,NiO,MgO,MnO,CaO,Na2O,K2O,H2O,Li2O,BeO,CO2,P2O5,SO3,ClO,V2O5,CoO,ZnO,As2O3,Rb2O,SrO,Y2O3,ZrO2,NbO2,SnO2,Cs2O,BaO,WO3,REE2O3,Sc2O3 ,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,HfO2,PbO,ThO2,UO2,U3O8,Si,Mg,Fe,Ca,B,N,Na,Ni,Ti,Mn,F,Li,S,C,P,Cl,Co,Cu,Zn,An,Cd,Sc,Cr,Pt,Tb,Hf,Nb,Ce,Cs,Ga,Be,Ag,Ru,As,Se,Al,Ge,In,Br,Ir,Mo,Sn,Sb,Dy,Pd,Er,Ta,Re,Sr,Rh,Te,Au,I,O,Hg,La,Tl,Pb,Bi,Ba,V,W,Y,Zr,Total,cps/nA,TAP1,TAPL2,/,TAPL4,/,,PET1,PETL2,PETL3,/,PETH5,,/,/,LIFL3,/,LIFH5,sonstige Kristalle
35,Std 1,8,nein,,,Diopsid,,,"Smithsonian, USNM 117733",54.87,,0.11,,,,0.24,,18.30,0.04,25.63,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.53,,,,,,,,,,,,,,,,,,,
36,Std 1,9,nein,,,Chromaugit,,,"Smithsonian, USNM 164905",50.48,0.51,8.03,0.85,,1.04,3.77,,17.32,0.12,17.30,0.84,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.27,,,,,,,,,,,,,,,,,,,
37,Std 1,10,nein,,,Benitoite,San Benito County,,"Smithsonian, USNM 86539",43.75,19.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.15,,,,,,,,,,,,,,,,,,,
38,Std 1,11,nein,,,Hedenbergit,Elba,"keine Zusammensetzung, wahrscheinlich nur Fe2+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
39,Std 1,12,nein,,,Hypersthene,Johnstown meteorite,,"Smithsonian, USNM 746",54.09,0.16,1.23,0.75,,,15.22,,26.79,0.49,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.25,,,,,,,,,,,,,,,,,,,
40,Std 1,13,nein,,,Hornblende,Kakanui,,"Smithsonian, USNM 143965",40.37,4.72,14.90,,,3.30,7.95,,12.80,0.09,10.30,2.60,2.05,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.02,,,,,,,,,,,,,,,,,,,
41,Std 1,14,nein,,,Hornblende,Arenal Volcano,,"Smithsonian, USNM 111356",41.46,1.41,15.47,,,5.60,6.43,,14.24,0.15,11.55,1.91,0.21,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.64,,,,,,,,,,,,,,,,,,,
42,Std 1,15,nein,,,Omphacite,Roberts Victor,,"Smithsonian, USNM 110607",55.42,0.37,8.89,,,1.35,3.41,,11.57,0.10,13.75,5.00,0.15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.03,,,,,,,,,,,,,,,,,,,
43,Std 1,16,nein,,,Fayalite,Rockport,,"Smithsonian, USNM 85276",29.22,0.04,,0.10,,1.32,66.36,,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.18,,,,,,,,,,,,,,,,,,,
44,Std 1,17,nein,,,Olivine,"Fo83, Springwater meteorite",,"Smithsonian, USNM 2566",38.95,,,0.02,,,16.62,,43.58,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.47,,,,,,,,,,,,,,,,,,,
